,model,duration,mask_efficiency,lambda_home,pulmonary_vent_rate,quanta_gen_rate,recover_rate,school_start,school_end,no_of_simulations,init_students_per_class,plotting_sample_rate,time_step,door_open_fraction,window_open_fraction,wind_speed,wind_direction,ambient_temp,corridor_temp,classroom_temp,window_height,opening_method,method,contam_model_name,run name,backed up,movement_method
0,model_210927_11-20-43,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
1,model_210927_11-27-59,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.05,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
2,model_210927_11-35-10,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
3,model_210927_11-42-29,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.15,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
4,model_210927_11-49-35,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
5,model_210927_11-56-55,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.25,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
6,model_210927_12-03-57,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
7,model_210927_12-11-09,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.35,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
8,model_210927_12-18-17,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
9,model_210927_12-25-32,5 days,0.0,0.0,0.54,5.0,0.0069444443999999,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.45,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_002,True,
